type,mass_drivers_online,area_m2,system
launch,,383336680.284896,mercury_mass_driver
launch,,383372607.02518046,mercury_mass_driver
launch,,383408521.83266914,mercury_mass_driver
launch,,383444424.7164027,mercury_mass_driver
launch,,383480315.68541145,mercury_mass_driver
launch,,383516194.7487148,mercury_mass_driver
launch,,383552061.91532135,mercury_mass_driver
infrastructure,17250.0,,
launch,,383587917.1942295,mercury_mass_driver
launch,,383623760.5944266,mercury_mass_driver
launch,,383659592.1248895,mercury_mass_driver
launch,,383695411.7945846,mercury_mass_driver
launch,,383731219.61246765,mercury_mass_driver
launch,,383767015.58748376,mercury_mass_driver
launch,,383802799.7285676,mercury_mass_driver
infrastructure,17691.0,,
launch,,383838572.0446434,mercury_mass_driver
launch,,383874332.54462457,mercury_mass_driver
launch,,383910081.2374145,mercury_mass_driver
launch,,383945818.13190556,mercury_mass_driver
launch,,383981543.23698,mercury_mass_driver
launch,,384017256.5615098,mercury_mass_driver
launch,,384052958.114356,mercury_mass_driver
infrastructure,18132.0,,
launch,,384088647.9043698,mercury_mass_driver
launch,,384124325.94039154,mercury_mass_driver
launch,,384159992.2312514,mercury_mass_driver
launch,,384195646.7857693,mercury_mass_driver
launch,,384231289.6127545,mercury_mass_driver
launch,,384266920.7210065,mercury_mass_driver
launch,,384302540.1193139,mercury_mass_driver
infrastructure,18572.0,,
launch,,384338147.8164552,mercury_mass_driver
launch,,384373743.8211988,mercury_mass_driver
launch,,384409328.1423027,mercury_mass_driver
launch,,384444900.7885146,mercury_mass_driver
launch,,384480461.7685722,mercury_mass_driver
launch,,384516011.0912027,mercury_mass_driver
launch,,384551548.7651233,mercury_mass_driver
infrastructure,19013.0,,
launch,,384587074.79904103,mercury_mass_driver
launch,,384622589.20165265,mercury_mass_driver
launch,,384658091.9816448,mercury_mass_driver
launch,,384693583.1476941,mercury_mass_driver
launch,,384729062.70846695,mercury_mass_driver
launch,,384764530.67261964,mercury_mass_driver
launch,,384799987.04879856,mercury_mass_driver
infrastructure,19454.0,,
launch,,384835431.84563977,mercury_mass_driver
launch,,384870865.07176936,mercury_mass_driver
launch,,384906286.73580354,mercury_mass_driver
launch,,384941696.8463485,mercury_mass_driver
launch,,384977095.41200024,mercury_mass_driver
launch,,385012482.44134486,mercury_mass_driver
launch,,385047857.9429584,mercury_mass_driver
infrastructure,19895.0,,
launch,,385083221.9254073,mercury_mass_driver
launch,,385118574.3972477,mercury_mass_driver
launch,,385153915.36702573,mercury_mass_driver
launch,,385189244.84327805,mercury_mass_driver
launch,,385224562.8345312,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
infrastructure,20449.0,,
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
infrastructure,21154.0,,
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
